Data		Hora       Temp_atual	Temp_med	Temp_min	Temp_max      Umi_atual     Umi_med     Umi_min     Umi_max
02/10/2024	19:10:05    28.04 °C	 27.40 °C	25.15 °C	 130.00 °C     48.33 RH      44.55 RH    40.76 RH    100.00 RH   
02/10/2024	19:10:10    28.03 °C	 27.40 °C	25.15 °C	 130.00 °C     48.33 RH      44.55 RH    40.76 RH    100.00 RH   
02/10/2024	19:10:15    28.03 °C	 27.40 °C	25.15 °C	 130.00 °C     48.37 RH      44.56 RH    40.76 RH    100.00 RH   
02/10/2024	19:10:20    28.03 °C	 27.40 °C	25.15 °C	 130.00 °C     48.35 RH      44.56 RH    40.76 RH    100.00 RH   
02/10/2024	19:10:26    28.03 °C	 27.40 °C	25.15 °C	 130.00 °C     48.37 RH      44.56 RH    40.76 RH    100.00 RH   
02/10/2024	19:10:31    28.03 °C	 27.40 °C	25.15 °C	 130.00 °C     48.36 RH      44.56 RH    40.76 RH    100.00 RH   
02/10/2024	19:10:36    28.03 °C	 27.40 °C	25.15 °C	 130.00 °C     48.40 RH      44.56 RH    40.76 RH    100.00 RH   
02/10/2024	19:10:41    28.03 °C	 27.40 °C	25.15 °C	 130.00 °C     48.42 RH      44.56 RH    40.76 RH    100.00 RH   
02/10/2024	19:10:46    28.01 °C	 27.40 °C	25.15 °C	 130.00 °C     48.45 RH      44.56 RH    40.76 RH    100.00 RH   
02/10/2024	19:10:51    28.03 °C	 27.40 °C	25.15 °C	 130.00 °C     48.50 RH      44.57 RH    40.76 RH    100.00 RH   
02/10/2024	19:10:56    28.01 °C	 27.40 °C	25.15 °C	 130.00 °C     48.49 RH      44.57 RH    40.76 RH    100.00 RH   
02/10/2024	19:11:01    28.04 °C	 27.40 °C	25.15 °C	 130.00 °C     48.51 RH      44.57 RH    40.76 RH    100.00 RH   
02/10/2024	19:11:06    28.03 °C	 27.40 °C	25.15 °C	 130.00 °C     48.47 RH      44.57 RH    40.76 RH    100.00 RH   
02/10/2024	19:11:11    28.04 °C	 27.40 °C	25.15 °C	 130.00 °C     48.47 RH      44.57 RH    40.76 RH    100.00 RH   
02/10/2024	19:11:16    28.04 °C	 27.40 °C	25.15 °C	 130.00 °C     48.47 RH      44.57 RH    40.76 RH    100.00 RH   
02/10/2024	19:11:21    28.03 °C	 27.40 °C	25.15 °C	 130.00 °C     48.49 RH      44.57 RH    40.76 RH    100.00 RH   
02/10/2024	19:11:26    28.04 °C	 27.40 °C	25.15 °C	 130.00 °C     48.46 RH      44.57 RH    40.76 RH    100.00 RH   
02/10/2024	19:11:31    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.49 RH      44.58 RH    40.76 RH    100.00 RH   
02/10/2024	19:11:36    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.49 RH      44.58 RH    40.76 RH    100.00 RH   
02/10/2024	19:11:41    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.49 RH      44.58 RH    40.76 RH    100.00 RH   
02/10/2024	19:11:46    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.45 RH      44.58 RH    40.76 RH    100.00 RH   
02/10/2024	19:11:51    28.04 °C	 27.41 °C	25.15 °C	 130.00 °C     48.47 RH      44.58 RH    40.76 RH    100.00 RH   
02/10/2024	19:11:56    28.05 °C	 27.41 °C	25.15 °C	 130.00 °C     48.50 RH      44.58 RH    40.76 RH    100.00 RH   
02/10/2024	19:12:01    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.47 RH      44.58 RH    40.76 RH    100.00 RH   
02/10/2024	19:12:06    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.44 RH      44.58 RH    40.76 RH    100.00 RH   
02/10/2024	19:12:11    28.04 °C	 27.41 °C	25.15 °C	 130.00 °C     48.46 RH      44.59 RH    40.76 RH    100.00 RH   
02/10/2024	19:12:16    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.50 RH      44.59 RH    40.76 RH    100.00 RH   
02/10/2024	19:12:21    28.04 °C	 27.41 °C	25.15 °C	 130.00 °C     48.53 RH      44.59 RH    40.76 RH    100.00 RH   
02/10/2024	19:12:26    28.05 °C	 27.41 °C	25.15 °C	 130.00 °C     48.62 RH      44.59 RH    40.76 RH    100.00 RH   
02/10/2024	19:12:31    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.60 RH      44.59 RH    40.76 RH    100.00 RH   
02/10/2024	19:12:36    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.56 RH      44.59 RH    40.76 RH    100.00 RH   
02/10/2024	19:12:41    28.04 °C	 27.41 °C	25.15 °C	 130.00 °C     48.57 RH      44.59 RH    40.76 RH    100.00 RH   
02/10/2024	19:12:46    28.05 °C	 27.41 °C	25.15 °C	 130.00 °C     48.55 RH      44.60 RH    40.76 RH    100.00 RH   
02/10/2024	19:12:51    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.55 RH      44.60 RH    40.76 RH    100.00 RH   
02/10/2024	19:12:56    28.04 °C	 27.41 °C	25.15 °C	 130.00 °C     48.55 RH      44.60 RH    40.76 RH    100.00 RH   
02/10/2024	19:13:01    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.51 RH      44.60 RH    40.76 RH    100.00 RH   
02/10/2024	19:13:06    28.04 °C	 27.41 °C	25.15 °C	 130.00 °C     48.46 RH      44.60 RH    40.76 RH    100.00 RH   
02/10/2024	19:13:11    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.50 RH      44.60 RH    40.76 RH    100.00 RH   
02/10/2024	19:13:16    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.49 RH      44.60 RH    40.76 RH    100.00 RH   
02/10/2024	19:13:21    28.05 °C	 27.41 °C	25.15 °C	 130.00 °C     48.43 RH      44.60 RH    40.76 RH    100.00 RH   
02/10/2024	19:13:26    28.00 °C	 27.41 °C	25.15 °C	 130.00 °C     48.42 RH      44.61 RH    40.76 RH    100.00 RH   
02/10/2024	19:13:31    28.04 °C	 27.41 °C	25.15 °C	 130.00 °C     48.37 RH      44.61 RH    40.76 RH    100.00 RH   
02/10/2024	19:13:36    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.44 RH      44.61 RH    40.76 RH    100.00 RH   
02/10/2024	19:13:41    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.37 RH      44.61 RH    40.76 RH    100.00 RH   
02/10/2024	19:13:46    28.04 °C	 27.41 °C	25.15 °C	 130.00 °C     48.40 RH      44.61 RH    40.76 RH    100.00 RH   
02/10/2024	19:13:51    28.04 °C	 27.41 °C	25.15 °C	 130.00 °C     48.39 RH      44.61 RH    40.76 RH    100.00 RH   
02/10/2024	19:13:56    28.04 °C	 27.41 °C	25.15 °C	 130.00 °C     48.39 RH      44.61 RH    40.76 RH    100.00 RH   
02/10/2024	19:14:01    28.01 °C	 27.41 °C	25.15 °C	 130.00 °C     48.45 RH      44.61 RH    40.76 RH    100.00 RH   
02/10/2024	19:14:06    28.04 °C	 27.41 °C	25.15 °C	 130.00 °C     48.40 RH      44.62 RH    40.76 RH    100.00 RH   
02/10/2024	19:14:11    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.40 RH      44.62 RH    40.76 RH    100.00 RH   
02/10/2024	19:14:16    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.38 RH      44.62 RH    40.76 RH    100.00 RH   
02/10/2024	19:14:21    28.04 °C	 27.41 °C	25.15 °C	 130.00 °C     48.37 RH      44.62 RH    40.76 RH    100.00 RH   
02/10/2024	19:14:26    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.38 RH      44.62 RH    40.76 RH    100.00 RH   
02/10/2024	19:14:31    28.01 °C	 27.41 °C	25.15 °C	 130.00 °C     48.38 RH      44.62 RH    40.76 RH    100.00 RH   
02/10/2024	19:14:36    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.41 RH      44.62 RH    40.76 RH    100.00 RH   
02/10/2024	19:14:41    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.44 RH      44.62 RH    40.76 RH    100.00 RH   
02/10/2024	19:14:46    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.42 RH      44.63 RH    40.76 RH    100.00 RH   
02/10/2024	19:14:51    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.40 RH      44.63 RH    40.76 RH    100.00 RH   
02/10/2024	19:14:56    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.40 RH      44.63 RH    40.76 RH    100.00 RH   
02/10/2024	19:15:01    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.50 RH      44.63 RH    40.76 RH    100.00 RH   
02/10/2024	19:15:06    28.01 °C	 27.41 °C	25.15 °C	 130.00 °C     48.49 RH      44.63 RH    40.76 RH    100.00 RH   
02/10/2024	19:15:11    28.04 °C	 27.41 °C	25.15 °C	 130.00 °C     48.51 RH      44.63 RH    40.76 RH    100.00 RH   
02/10/2024	19:15:16    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.58 RH      44.63 RH    40.76 RH    100.00 RH   
02/10/2024	19:15:21    28.07 °C	 27.41 °C	25.15 °C	 130.00 °C     48.56 RH      44.63 RH    40.76 RH    100.00 RH   
02/10/2024	19:15:26    28.04 °C	 27.41 °C	25.15 °C	 130.00 °C     48.62 RH      44.64 RH    40.76 RH    100.00 RH   
02/10/2024	19:15:31    28.03 °C	 27.41 °C	25.15 °C	 130.00 °C     48.62 RH      44.64 RH    40.76 RH    100.00 RH   
02/10/2024	19:15:36    28.04 °C	 27.42 °C	25.15 °C	 130.00 °C     48.63 RH      44.64 RH    40.76 RH    100.00 RH   
02/10/2024	19:15:41    28.04 °C	 27.42 °C	25.15 °C	 130.00 °C     48.70 RH      44.64 RH    40.76 RH    100.00 RH   
02/10/2024	19:15:46    28.04 °C	 27.42 °C	25.15 °C	 130.00 °C     48.66 RH      44.64 RH    40.76 RH    100.00 RH   
02/10/2024	19:15:51    28.04 °C	 27.42 °C	25.15 °C	 130.00 °C     48.63 RH      44.64 RH    40.76 RH    100.00 RH   
02/10/2024	19:15:56    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.67 RH      44.64 RH    40.76 RH    100.00 RH   
02/10/2024	19:16:01    28.00 °C	 27.42 °C	25.15 °C	 130.00 °C     48.64 RH      44.65 RH    40.76 RH    100.00 RH   
02/10/2024	19:16:06    28.04 °C	 27.42 °C	25.15 °C	 130.00 °C     48.64 RH      44.65 RH    40.76 RH    100.00 RH   
02/10/2024	19:16:11    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.63 RH      44.65 RH    40.76 RH    100.00 RH   
02/10/2024	19:16:16    28.04 °C	 27.42 °C	25.15 °C	 130.00 °C     48.67 RH      44.65 RH    40.76 RH    100.00 RH   
02/10/2024	19:16:21    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.62 RH      44.65 RH    40.76 RH    100.00 RH   
02/10/2024	19:16:26    28.04 °C	 27.42 °C	25.15 °C	 130.00 °C     48.67 RH      44.65 RH    40.76 RH    100.00 RH   
02/10/2024	19:16:32    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.56 RH      44.65 RH    40.76 RH    100.00 RH   
02/10/2024	19:16:37    28.04 °C	 27.42 °C	25.15 °C	 130.00 °C     48.57 RH      44.65 RH    40.76 RH    100.00 RH   
02/10/2024	19:16:42    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.56 RH      44.66 RH    40.76 RH    100.00 RH   
02/10/2024	19:16:47    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.62 RH      44.66 RH    40.76 RH    100.00 RH   
02/10/2024	19:16:52    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.59 RH      44.66 RH    40.76 RH    100.00 RH   
02/10/2024	19:16:57    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.62 RH      44.66 RH    40.76 RH    100.00 RH   
02/10/2024	19:17:02    28.05 °C	 27.42 °C	25.15 °C	 130.00 °C     48.61 RH      44.66 RH    40.76 RH    100.00 RH   
02/10/2024	19:17:07    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.56 RH      44.66 RH    40.76 RH    100.00 RH   
02/10/2024	19:17:12    28.01 °C	 27.42 °C	25.15 °C	 130.00 °C     48.61 RH      44.66 RH    40.76 RH    100.00 RH   
02/10/2024	19:17:17    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.59 RH      44.67 RH    40.76 RH    100.00 RH   
02/10/2024	19:17:22    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.65 RH      44.67 RH    40.76 RH    100.00 RH   
02/10/2024	19:17:27    28.04 °C	 27.42 °C	25.15 °C	 130.00 °C     48.68 RH      44.67 RH    40.76 RH    100.00 RH   
02/10/2024	19:17:32    28.04 °C	 27.42 °C	25.15 °C	 130.00 °C     48.74 RH      44.67 RH    40.76 RH    100.00 RH   
02/10/2024	19:17:37    28.01 °C	 27.42 °C	25.15 °C	 130.00 °C     48.81 RH      44.67 RH    40.76 RH    100.00 RH   
02/10/2024	19:17:42    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.86 RH      44.67 RH    40.76 RH    100.00 RH   
02/10/2024	19:17:47    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.89 RH      44.67 RH    40.76 RH    100.00 RH   
02/10/2024	19:17:52    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.89 RH      44.67 RH    40.76 RH    100.00 RH   
02/10/2024	19:17:57    28.04 °C	 27.42 °C	25.15 °C	 130.00 °C     48.89 RH      44.68 RH    40.76 RH    100.00 RH   
02/10/2024	19:18:02    28.05 °C	 27.42 °C	25.15 °C	 130.00 °C     48.91 RH      44.68 RH    40.76 RH    100.00 RH   
02/10/2024	19:18:07    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.90 RH      44.68 RH    40.76 RH    100.00 RH   
02/10/2024	19:18:12    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.91 RH      44.68 RH    40.76 RH    100.00 RH   
02/10/2024	19:18:17    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.91 RH      44.68 RH    40.76 RH    100.00 RH   
02/10/2024	19:18:22    28.04 °C	 27.42 °C	25.15 °C	 130.00 °C     48.97 RH      44.68 RH    40.76 RH    100.00 RH   
02/10/2024	19:18:27    28.04 °C	 27.42 °C	25.15 °C	 130.00 °C     48.93 RH      44.68 RH    40.76 RH    100.00 RH   
02/10/2024	19:18:32    28.05 °C	 27.42 °C	25.15 °C	 130.00 °C     48.94 RH      44.69 RH    40.76 RH    100.00 RH   
02/10/2024	19:18:37    28.04 °C	 27.42 °C	25.15 °C	 130.00 °C     48.93 RH      44.69 RH    40.76 RH    100.00 RH   
02/10/2024	19:18:42    28.04 °C	 27.42 °C	25.15 °C	 130.00 °C     48.93 RH      44.69 RH    40.76 RH    100.00 RH   
02/10/2024	19:18:47    28.04 °C	 27.42 °C	25.15 °C	 130.00 °C     48.97 RH      44.69 RH    40.76 RH    100.00 RH   
02/10/2024	19:18:52    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.95 RH      44.69 RH    40.76 RH    100.00 RH   
02/10/2024	19:18:57    28.04 °C	 27.42 °C	25.15 °C	 130.00 °C     48.92 RH      44.69 RH    40.76 RH    100.00 RH   
02/10/2024	19:19:02    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.94 RH      44.69 RH    40.76 RH    100.00 RH   
02/10/2024	19:19:07    28.01 °C	 27.42 °C	25.15 °C	 130.00 °C     48.85 RH      44.70 RH    40.76 RH    100.00 RH   
02/10/2024	19:19:12    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.84 RH      44.70 RH    40.76 RH    100.00 RH   
02/10/2024	19:19:17    28.04 °C	 27.42 °C	25.15 °C	 130.00 °C     48.84 RH      44.70 RH    40.76 RH    100.00 RH   
02/10/2024	19:19:22    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.85 RH      44.70 RH    40.76 RH    100.00 RH   
02/10/2024	19:19:27    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.84 RH      44.70 RH    40.76 RH    100.00 RH   
02/10/2024	19:19:32    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.81 RH      44.70 RH    40.76 RH    100.00 RH   
02/10/2024	19:19:37    28.03 °C	 27.42 °C	25.15 °C	 130.00 °C     48.82 RH      44.70 RH    40.76 RH    100.00 RH   
02/10/2024	19:19:42    28.04 °C	 27.42 °C	25.15 °C	 130.00 °C     48.77 RH      44.70 RH    40.76 RH    100.00 RH   
02/10/2024	19:19:47    28.03 °C	 27.43 °C	25.15 °C	 130.00 °C     48.81 RH      44.71 RH    40.76 RH    100.00 RH   
02/10/2024	19:19:52    28.01 °C	 27.43 °C	25.15 °C	 130.00 °C     48.78 RH      44.71 RH    40.76 RH    100.00 RH   
02/10/2024	19:19:57    28.03 °C	 27.43 °C	25.15 °C	 130.00 °C     48.75 RH      44.71 RH    40.76 RH    100.00 RH   
02/10/2024	19:20:02    28.03 °C	 27.43 °C	25.15 °C	 130.00 °C     48.72 RH      44.71 RH    40.76 RH    100.00 RH   
02/10/2024	19:20:07    28.04 °C	 27.43 °C	25.15 °C	 130.00 °C     48.79 RH      44.71 RH    40.76 RH    100.00 RH   
02/10/2024	19:20:12    28.04 °C	 27.43 °C	25.15 °C	 130.00 °C     48.80 RH      44.71 RH    40.76 RH    100.00 RH   
02/10/2024	19:20:17    28.05 °C	 27.43 °C	25.15 °C	 130.00 °C     48.76 RH      44.71 RH    40.76 RH    100.00 RH   
02/10/2024	19:20:22    28.04 °C	 27.43 °C	25.15 °C	 130.00 °C     48.80 RH      44.72 RH    40.76 RH    100.00 RH   
02/10/2024	19:20:27    28.04 °C	 27.43 °C	25.15 °C	 130.00 °C     48.84 RH      44.72 RH    40.76 RH    100.00 RH   
02/10/2024	19:20:32    28.03 °C	 27.43 °C	25.15 °C	 130.00 °C     48.80 RH      44.72 RH    40.76 RH    100.00 RH   
02/10/2024	19:20:37    28.03 °C	 27.43 °C	25.15 °C	 130.00 °C     48.78 RH      44.72 RH    40.76 RH    100.00 RH   
02/10/2024	19:20:42    28.03 °C	 27.43 °C	25.15 °C	 130.00 °C     48.82 RH      44.72 RH    40.76 RH    100.00 RH   
02/10/2024	19:20:47    28.04 °C	 27.43 °C	25.15 °C	 130.00 °C     48.85 RH      44.72 RH    40.76 RH    100.00 RH   
02/10/2024	19:20:52    28.05 °C	 27.43 °C	25.15 °C	 130.00 °C     48.88 RH      44.72 RH    40.76 RH    100.00 RH   
02/10/2024	19:20:57    28.03 °C	 27.43 °C	25.15 °C	 130.00 °C     48.89 RH      44.72 RH    40.76 RH    100.00 RH   
02/10/2024	19:21:02    28.04 °C	 27.43 °C	25.15 °C	 130.00 °C     48.88 RH      44.73 RH    40.76 RH    100.00 RH   
02/10/2024	19:21:07    28.01 °C	 27.43 °C	25.15 °C	 130.00 °C     48.95 RH      44.73 RH    40.76 RH    100.00 RH   
02/10/2024	19:21:12    28.04 °C	 27.43 °C	25.15 °C	 130.00 °C     48.90 RH      44.73 RH    40.76 RH    100.00 RH   
02/10/2024	19:21:17    28.03 °C	 27.43 °C	25.15 °C	 130.00 °C     48.94 RH      44.73 RH    40.76 RH    100.00 RH   
02/10/2024	19:21:22    28.05 °C	 27.43 °C	25.15 °C	 130.00 °C     48.97 RH      44.73 RH    40.76 RH    100.00 RH   
02/10/2024	19:21:27    28.03 °C	 27.43 °C	25.15 °C	 130.00 °C     48.94 RH      44.73 RH    40.76 RH    100.00 RH   
02/10/2024	19:21:32    28.04 °C	 27.43 °C	25.15 °C	 130.00 °C     48.97 RH      44.73 RH    40.76 RH    100.00 RH   
02/10/2024	19:21:37    28.04 °C	 27.43 °C	25.15 °C	 130.00 °C     48.99 RH      44.74 RH    40.76 RH    100.00 RH   
02/10/2024	19:21:42    28.04 °C	 27.43 °C	25.15 °C	 130.00 °C     48.96 RH      44.74 RH    40.76 RH    100.00 RH   
02/10/2024	19:21:47    28.03 °C	 27.43 °C	25.15 °C	 130.00 °C     48.97 RH      44.74 RH    40.76 RH    100.00 RH   
02/10/2024	19:21:52    28.04 °C	 27.43 °C	25.15 °C	 130.00 °C     48.99 RH      44.74 RH    40.76 RH    100.00 RH   
02/10/2024	19:21:57    28.01 °C	 27.43 °C	25.15 °C	 130.00 °C     48.94 RH      44.74 RH    40.76 RH    100.00 RH   
02/10/2024	19:22:02    28.03 °C	 27.43 °C	25.15 °C	 130.00 °C     48.95 RH      44.74 RH    40.76 RH    100.00 RH   
02/10/2024	19:22:07    28.03 °C	 27.43 °C	25.15 °C	 130.00 °C     48.99 RH      44.74 RH    40.76 RH    100.00 RH   
02/10/2024	19:22:12    28.04 °C	 27.43 °C	25.15 °C	 130.00 °C     48.99 RH      44.75 RH    40.76 RH    100.00 RH   
02/10/2024	19:22:17    28.04 °C	 27.43 °C	25.15 °C	 130.00 °C     49.01 RH      44.75 RH    40.76 RH    100.00 RH   
02/10/2024	19:22:22    28.04 °C	 27.43 °C	25.15 °C	 130.00 °C     49.03 RH      44.75 RH    40.76 RH    100.00 RH   
02/10/2024	19:22:27    28.03 °C	 27.43 °C	25.15 °C	 130.00 °C     49.01 RH      44.75 RH    40.76 RH    100.00 RH   
02/10/2024	19:22:32    28.03 °C	 27.43 °C	25.15 °C	 130.00 °C     49.01 RH      44.75 RH    40.76 RH    100.00 RH   
02/10/2024	19:22:38    28.01 °C	 27.43 °C	25.15 °C	 130.00 °C     49.07 RH      44.75 RH    40.76 RH    100.00 RH   
02/10/2024	19:22:43    28.03 °C	 27.43 °C	25.15 °C	 130.00 °C     49.09 RH      44.75 RH    40.76 RH    100.00 RH   
02/10/2024	19:22:48    28.03 °C	 27.43 °C	25.15 °C	 130.00 °C     49.09 RH      44.75 RH    40.76 RH    100.00 RH   
02/10/2024	19:22:53    28.04 °C	 27.43 °C	25.15 °C	 130.00 °C     49.10 RH      44.76 RH    40.76 RH    100.00 RH   
02/10/2024	19:22:58    28.03 °C	 27.43 °C	25.15 °C	 130.00 °C     49.08 RH      44.76 RH    40.76 RH    100.00 RH   
02/10/2024	19:23:03    28.03 °C	 27.43 °C	25.15 °C	 130.00 °C     49.08 RH      44.76 RH    40.76 RH    100.00 RH   
02/10/2024	19:23:08    28.04 °C	 27.43 °C	25.15 °C	 130.00 °C     49.10 RH      44.76 RH    40.76 RH    100.00 RH   
02/10/2024	19:23:13    28.04 °C	 27.43 °C	25.15 °C	 130.00 °C     49.15 RH      44.76 RH    40.76 RH    100.00 RH   
02/10/2024	19:23:18    28.01 °C	 27.43 °C	25.15 °C	 130.00 °C     49.13 RH      44.76 RH    40.76 RH    100.00 RH   
02/10/2024	19:23:23    28.04 °C	 27.43 °C	25.15 °C	 130.00 °C     49.20 RH      44.76 RH    40.76 RH    100.00 RH   
02/10/2024	19:23:28    28.05 °C	 27.43 °C	25.15 °C	 130.00 °C     49.20 RH      44.77 RH    40.76 RH    100.00 RH   
02/10/2024	19:23:33    28.03 °C	 27.43 °C	25.15 °C	 130.00 °C     49.26 RH      44.77 RH    40.76 RH    100.00 RH   
02/10/2024	19:23:38    28.04 °C	 27.43 °C	25.15 °C	 130.00 °C     49.25 RH      44.77 RH    40.76 RH    100.00 RH   
02/10/2024	19:23:43    28.04 °C	 27.43 °C	25.15 °C	 130.00 °C     49.32 RH      44.77 RH    40.76 RH    100.00 RH   
02/10/2024	19:23:48    28.04 °C	 27.43 °C	25.15 °C	 130.00 °C     49.27 RH      44.77 RH    40.76 RH    100.00 RH   
02/10/2024	19:23:53    28.03 °C	 27.43 °C	25.15 °C	 130.00 °C     49.29 RH      44.77 RH    40.76 RH    100.00 RH   
02/10/2024	19:23:58    28.03 °C	 27.43 °C	25.15 °C	 130.00 °C     49.29 RH      44.77 RH    40.76 RH    100.00 RH   
02/10/2024	19:24:03    28.00 °C	 27.44 °C	25.15 °C	 130.00 °C     49.26 RH      44.78 RH    40.76 RH    100.00 RH   
02/10/2024	19:24:08    28.03 °C	 27.44 °C	25.15 °C	 130.00 °C     49.28 RH      44.78 RH    40.76 RH    100.00 RH   
02/10/2024	19:24:13    28.01 °C	 27.44 °C	25.15 °C	 130.00 °C     49.28 RH      44.78 RH    40.76 RH    100.00 RH   
02/10/2024	19:24:18    28.01 °C	 27.44 °C	25.15 °C	 130.00 °C     49.22 RH      44.78 RH    40.76 RH    100.00 RH   
02/10/2024	19:24:23    28.03 °C	 27.44 °C	25.15 °C	 130.00 °C     49.25 RH      44.78 RH    40.76 RH    100.00 RH   
02/10/2024	19:24:28    28.04 °C	 27.44 °C	25.15 °C	 130.00 °C     49.25 RH      44.78 RH    40.76 RH    100.00 RH   
02/10/2024	19:24:33    28.03 °C	 27.44 °C	25.15 °C	 130.00 °C     49.29 RH      44.78 RH    40.76 RH    100.00 RH   
02/10/2024	19:24:38    28.03 °C	 27.44 °C	25.15 °C	 130.00 °C     49.29 RH      44.79 RH    40.76 RH    100.00 RH   
02/10/2024	19:24:43    28.05 °C	 27.44 °C	25.15 °C	 130.00 °C     49.37 RH      44.79 RH    40.76 RH    100.00 RH   
02/10/2024	19:24:48    28.04 °C	 27.44 °C	25.15 °C	 130.00 °C     49.30 RH      44.79 RH    40.76 RH    100.00 RH   
02/10/2024	19:24:53    28.01 °C	 27.44 °C	25.15 °C	 130.00 °C     49.28 RH      44.79 RH    40.76 RH    100.00 RH   
02/10/2024	19:24:58    28.03 °C	 27.44 °C	25.15 °C	 130.00 °C     49.29 RH      44.79 RH    40.76 RH    100.00 RH   
02/10/2024	19:25:03    28.01 °C	 27.44 °C	25.15 °C	 130.00 °C     49.28 RH      44.79 RH    40.76 RH    100.00 RH   
02/10/2024	19:25:08    28.03 °C	 27.44 °C	25.15 °C	 130.00 °C     49.30 RH      44.79 RH    40.76 RH    100.00 RH   
02/10/2024	19:25:13    28.03 °C	 27.44 °C	25.15 °C	 130.00 °C     49.23 RH      44.80 RH    40.76 RH    100.00 RH   
02/10/2024	19:25:18    28.04 °C	 27.44 °C	25.15 °C	 130.00 °C     49.21 RH      44.80 RH    40.76 RH    100.00 RH   
02/10/2024	19:25:23    28.03 °C	 27.44 °C	25.15 °C	 130.00 °C     49.24 RH      44.80 RH    40.76 RH    100.00 RH   
02/10/2024	19:25:28    28.03 °C	 27.44 °C	25.15 °C	 130.00 °C     49.24 RH      44.80 RH    40.76 RH    100.00 RH   
02/10/2024	19:25:33    28.04 °C	 27.44 °C	25.15 °C	 130.00 °C     49.21 RH      44.80 RH    40.76 RH    100.00 RH   
02/10/2024	19:25:38    28.03 °C	 27.44 °C	25.15 °C	 130.00 °C     49.20 RH      44.80 RH    40.76 RH    100.00 RH   
02/10/2024	19:25:43    28.04 °C	 27.44 °C	25.15 °C	 130.00 °C     49.24 RH      44.80 RH    40.76 RH    100.00 RH   
02/10/2024	19:25:48    28.03 °C	 27.44 °C	25.15 °C	 130.00 °C     49.16 RH      44.81 RH    40.76 RH    100.00 RH   
02/10/2024	19:25:53    28.01 °C	 27.44 °C	25.15 °C	 130.00 °C     49.17 RH      44.81 RH    40.76 RH    100.00 RH   
02/10/2024	19:25:58    28.03 °C	 27.44 °C	25.15 °C	 130.00 °C     49.17 RH      44.81 RH    40.76 RH    100.00 RH   
02/10/2024	19:26:03    28.04 °C	 27.44 °C	25.15 °C	 130.00 °C     49.19 RH      44.81 RH    40.76 RH    100.00 RH   
02/10/2024	19:26:08    28.03 °C	 27.44 °C	25.15 °C	 130.00 °C     49.16 RH      44.81 RH    40.76 RH    100.00 RH   
